Program,BatchKeyPath,ExecutionTime,BatchValueName
\Device\HarddiskVolume3\Windows\System32\csrss.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-18,2025-03-10 04:54:21.1130081,\Device\HarddiskVolume3\Windows\System32\csrss.exe
Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1000,2025-02-04 08:25:15.7932225,Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy
Microsoft.Windows.OOBENetworkConnectionFlow_cw5n1h2txyewy,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1000,2025-02-04 08:25:15.7932225,Microsoft.Windows.OOBENetworkConnectionFlow_cw5n1h2txyewy
MicrosoftWindows.Client.CBS_cw5n1h2txyewy,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-10 04:59:18.6321613,MicrosoftWindows.Client.CBS_cw5n1h2txyewy
Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-10 04:54:28.7353629,Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy
Microsoft.Windows.ShellExperienceHost_cw5n1h2txyewy,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-10 04:59:46.1210019,Microsoft.Windows.ShellExperienceHost_cw5n1h2txyewy
Microsoft.LockApp_cw5n1h2txyewy,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-10 04:54:37.5920157,Microsoft.LockApp_cw5n1h2txyewy
Microsoft.XboxGamingOverlay_8wekyb3d8bbwe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-09 06:03:09.5143345,Microsoft.XboxGamingOverlay_8wekyb3d8bbwe
windows.immersivecontrolpanel_cw5n1h2txyewy,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-10 04:59:53.2293664,windows.immersivecontrolpanel_cw5n1h2txyewy
Microsoft.SecHealthUI_8wekyb3d8bbwe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-02-04 09:13:35.3920411,Microsoft.SecHealthUI_8wekyb3d8bbwe
\Device\HarddiskVolume3\Windows\explorer.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-10 04:54:29.4226495,\Device\HarddiskVolume3\Windows\explorer.exe
\Device\HarddiskVolume3\Users\hans\AppData\Local\Programs\Microsoft VS Code\Code.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-10 04:57:31.1030682,\Device\HarddiskVolume3\Users\hans\AppData\Local\Programs\Microsoft VS Code\Code.exe
Microsoft.WindowsStore_8wekyb3d8bbwe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-10 01:37:04.5995982,Microsoft.WindowsStore_8wekyb3d8bbwe
Microsoft.WindowsTerminal_8wekyb3d8bbwe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-10 05:37:57.6660044,Microsoft.WindowsTerminal_8wekyb3d8bbwe
Microsoft.WindowsNotepad_8wekyb3d8bbwe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-10 05:26:01.0168302,Microsoft.WindowsNotepad_8wekyb3d8bbwe
Microsoft.Windows.Photos_8wekyb3d8bbwe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-09 09:32:47.5057401,Microsoft.Windows.Photos_8wekyb3d8bbwe
\Device\HarddiskVolume3\Windows\System32\cmd.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-10 07:02:28.3200174,\Device\HarddiskVolume3\Windows\System32\cmd.exe
\Device\HarddiskVolume3\Users\hans\AppData\Local\Temp\is-IILJP.tmp\CodeSetup-stable-6609ac3d66f4eade5cf376d1cb76f13985724bcb.tmp,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-09 06:13:35.6717788,\Device\HarddiskVolume3\Users\hans\AppData\Local\Temp\is-IILJP.tmp\CodeSetup-stable-6609ac3d66f4eade5cf376d1cb76f13985724bcb.tmp
\Device\HarddiskVolume3\Windows\System32\ApplicationFrameHost.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-10 04:59:53.0093191,\Device\HarddiskVolume3\Windows\System32\ApplicationFrameHost.exe
\Device\HarddiskVolume3\Program Files\VMware\VMware Tools\vmtoolsd.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-10 04:54:52.0202242,\Device\HarddiskVolume3\Program Files\VMware\VMware Tools\vmtoolsd.exe
\Device\HarddiskVolume3\Users\hans\AppData\Local\Microsoft\OneDrive\OneDrive.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-10 04:54:54.2265162,\Device\HarddiskVolume3\Users\hans\AppData\Local\Microsoft\OneDrive\OneDrive.exe
\Device\HarddiskVolume3\Windows\System32\Speech\SpeechUX\SpeechUXWiz.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-09 09:00:57.7356116,\Device\HarddiskVolume3\Windows\System32\Speech\SpeechUX\SpeechUXWiz.exe
\Device\HarddiskVolume3\Users\hans\AppData\Local\Temp\is-JM092.tmp\CodeSetup-stable-6609ac3d66f4eade5cf376d1cb76f13985724bcb.tmp,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-09 09:14:34.2896893,\Device\HarddiskVolume3\Users\hans\AppData\Local\Temp\is-JM092.tmp\CodeSetup-stable-6609ac3d66f4eade5cf376d1cb76f13985724bcb.tmp
\Device\HarddiskVolume3\Users\hans\AppData\Local\Temp\is-NKHUE.tmp\CodeSetup-stable-6609ac3d66f4eade5cf376d1cb76f13985724bcb.tmp,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-09 11:33:08.3398508,\Device\HarddiskVolume3\Users\hans\AppData\Local\Temp\is-NKHUE.tmp\CodeSetup-stable-6609ac3d66f4eade5cf376d1cb76f13985724bcb.tmp
\Device\HarddiskVolume3\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-10 06:44:14.5221078,\Device\HarddiskVolume3\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
\Device\HarddiskVolume3\Windows\System32\mstsc.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-10 06:00:03.5537907,\Device\HarddiskVolume3\Windows\System32\mstsc.exe
\Device\HarddiskVolume3\Windows\System32\CredentialUIBroker.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-10 06:00:15.0421061,\Device\HarddiskVolume3\Windows\System32\CredentialUIBroker.exe
\Device\HarddiskVolume3\Users\hans\AppData\Local\Temp\{074E74B7-D219-4FA1-8784-044FE7D02473}\.be\python-3.7.0-amd64.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-09 12:18:55.8806206,\Device\HarddiskVolume3\Users\hans\AppData\Local\Temp\{074E74B7-D219-4FA1-8784-044FE7D02473}\.be\python-3.7.0-amd64.exe
\Device\HarddiskVolume3\Windows\System32\SystemPropertiesAdvanced.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-09 12:32:33.6249412,\Device\HarddiskVolume3\Windows\System32\SystemPropertiesAdvanced.exe
\Device\HarddiskVolume3\Users\hans\AppData\Local\Temp\{59CFB9F2-E7EE-4F79-B6E0-60A82C467FC4}\.cr\python-3.7.0-amd64.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-09 12:26:33.1274402,\Device\HarddiskVolume3\Users\hans\AppData\Local\Temp\{59CFB9F2-E7EE-4F79-B6E0-60A82C467FC4}\.cr\python-3.7.0-amd64.exe
\Device\HarddiskVolume3\Users\hans\AppData\Local\Programs\Python\Python37\python.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-10 07:02:28.4020576,\Device\HarddiskVolume3\Users\hans\AppData\Local\Programs\Python\Python37\python.exe
\Device\HarddiskVolume3\Windows\System32\Taskmgr.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-09 12:43:02.2007064,\Device\HarddiskVolume3\Windows\System32\Taskmgr.exe
\Device\HarddiskVolume3\Windows\System32\OpenWith.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-09 13:53:27.6169523,\Device\HarddiskVolume3\Windows\System32\OpenWith.exe
\Device\HarddiskVolume3\Users\hans\AppData\Local\Temp\{97DD340E-9EFF-47E2-B0CF-13409014463C}\.cr\windowsdesktop-runtime-9.0.2-win-x64.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-10 01:50:15.9167082,\Device\HarddiskVolume3\Users\hans\AppData\Local\Temp\{97DD340E-9EFF-47E2-B0CF-13409014463C}\.cr\windowsdesktop-runtime-9.0.2-win-x64.exe
\Device\HarddiskVolume3\Windows\System32\DataExchangeHost.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-10 05:47:15.6356234,\Device\HarddiskVolume3\Windows\System32\DataExchangeHost.exe
\Device\HarddiskVolume3\Users\hans\Downloads\lab3FINALVersion\KAPE\gkape.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-10 03:55:37.8936949,\Device\HarddiskVolume3\Users\hans\Downloads\lab3FINALVersion\KAPE\gkape.exe
\Device\HarddiskVolume3\Users\hans\Downloads\lab3FINALVersion\KAPE\kape.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-10 03:55:06.9274698,\Device\HarddiskVolume3\Users\hans\Downloads\lab3FINALVersion\KAPE\kape.exe
Microsoft.ScreenSketch_8wekyb3d8bbwe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-10 05:00:30.1921968,Microsoft.ScreenSketch_8wekyb3d8bbwe
Microsoft.Copilot_8wekyb3d8bbwe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-10 05:12:07.8875433,Microsoft.Copilot_8wekyb3d8bbwe
\Device\HarddiskVolume3\Users\hans\Downloads\Artifact-Acquisition-and-Parser\dist\tool.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3772742331-1108507784-3781162965-1001,2025-03-10 06:44:02.6300804,\Device\HarddiskVolume3\Users\hans\Downloads\Artifact-Acquisition-and-Parser\dist\tool.exe
\Device\HarddiskVolume3\Windows\System32\dwm.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-90-0-1,2025-03-10 04:54:33.3119155,\Device\HarddiskVolume3\Windows\System32\dwm.exe
